#Frequency[Hz] NS_woA  WE_woA  Z_woA NS_wA WE_wA Z_wA            
1.2578125 1.93656E-09 1.7155E-09  3.6635E-09  1.56865E-09 1.50249E-09 4.03485E-09
1.265625  1.62298E-09 1.22597E-09 4.38505E-09 1.67508E-09 1.3647E-09  4.99342E-09
1.2734375 2.02725E-09 1.15599E-09 5.07874E-09 1.50371E-09 1.15631E-09 4.30561E-09
1.28125 2.14127E-09 1.88265E-09 3.71738E-09 1.17732E-09 1.13114E-09 2.90733E-09
1.2890625 1.66529E-09 1.96529E-09 2.45492E-09 9.53177E-10 1.32196E-09 3.22107E-09
1.296875  1.53819E-09 1.61672E-09 3.77493E-09 1.02376E-09 1.2779E-09  4.4194E-09
1.3046875 1.62901E-09 1.62238E-09 3.74642E-09 1.04999E-09 1.14081E-09 4.32565E-09
1.3125  1.46984E-09 1.26596E-09 2.03436E-09 9.58681E-10 1.29898E-09 5.06884E-09
1.3203125 1.43889E-09 9.95052E-10 2.75841E-09 1.1217E-09  1.55293E-09 5.00987E-09
1.328125  1.30378E-09 1.12181E-09 3.60885E-09 1.37656E-09 1.23314E-09 4.14262E-09
1.3359375 1.15557E-09 1.45683E-09 4.60792E-09 1.68377E-09 8.57464E-10 3.91401E-09
1.34375 1.78186E-09 1.57642E-09 4.33483E-09 1.61281E-09 8.83174E-10 3.17887E-09
1.3515625 2.22943E-09 1.87392E-09 4.59904E-09 7.44582E-10 9.68849E-10 1.6345E-09
1.359375  2.46091E-09 2.06714E-09 5.58879E-09 8.59548E-10 8.3448E-10  2.40677E-09
1.3671875 1.90739E-09 1.366E-09 4.40802E-09 8.36606E-10 5.86087E-10 2.10811E-09
1.375 1.05072E-09 1.4174E-09  3.27382E-09 5.65159E-10 6.55022E-10 3.08301E-09
1.3828125 8.81324E-10 1.24789E-09 2.35119E-09 1.01895E-09 7.14264E-10 2.74616E-09
1.390625  1.22634E-09 1.07321E-09 3.90242E-09 9.20094E-10 9.32595E-10 2.00802E-09
1.3984375 1.23937E-09 1.39902E-09 3.87427E-09 1.04365E-09 8.674E-10 2.72768E-09
1.40625 1.34759E-09 2.20701E-09 2.67126E-09 1.15182E-09 1.02443E-09 3.28513E-09
1.4140625 1.49273E-09 1.80419E-09 1.91802E-09 1.03688E-09 1.13317E-09 2.77273E-09
1.421875  1.86254E-09 1.55016E-09 3.23375E-09 8.02664E-10 9.97827E-10 2.26376E-09
1.4296875 2.7006E-09  2.14584E-09 3.46933E-09 1.16829E-09 1.18731E-09 2.92675E-09
1.4375  1.93577E-09 1.9402E-09  2.4551E-09  1.00334E-09 1.30932E-09 2.56058E-09
1.4453125 1.43956E-09 2.29864E-09 2.71127E-09 1.14587E-09 8.94348E-10 2.09548E-09
1.453125  9.16491E-10 1.60388E-09 2.14421E-09 1.02978E-09 6.9195E-10  2.51509E-09
1.4609375 1.13163E-09 1.00308E-09 2.12357E-09 4.75966E-10 7.49697E-10 1.85201E-09
1.46875 1.29114E-09 1.08964E-09 2.34674E-09 6.51532E-10 1.17648E-09 2.51455E-09
1.4765625 7.65779E-10 1.33583E-09 1.8744E-09  9.69537E-10 1.21961E-09 2.67055E-09
1.484375  1.12289E-09 1.55152E-09 2.61937E-09 9.16949E-10 1.22174E-09 1.91094E-09
1.4921875 1.70925E-09 1.84556E-09 3.47874E-09 6.83594E-10 1.0626E-09  1.17976E-09
1.5 1.2575E-09  2.10811E-09 2.97012E-09 7.27927E-10 7.51245E-10 1.46579E-09
1.5078125 1.65739E-09 1.88509E-09 3.25425E-09 1.2332E-09  9.79564E-10 1.55381E-09
1.515625  2.13557E-09 9.40633E-10 2.8534E-09  1.33857E-09 8.54972E-10 1.9066E-09
1.5234375 3.5369E-09  1.22041E-09 2.85788E-09 1.34075E-09 5.24109E-10 2.20701E-09
1.53125 3.9885E-09  1.91055E-09 2.57757E-09 1.46005E-09 4.29077E-10 1.91411E-09
1.5390625 1.88886E-09 1.42935E-09 1.63677E-09 1.60346E-09 7.09129E-10 1.72723E-09
1.546875  1.7937E-09  8.40023E-10 1.91681E-09 1.4131E-09  7.20926E-10 1.62612E-09
1.5546875 2.20804E-09 8.89056E-10 3.07745E-09 2.1283E-09  9.05715E-10 2.58266E-09
1.5625  1.52228E-09 1.09934E-09 2.83332E-09 1.88894E-09 6.67453E-10 2.39648E-09
1.5703125 2.07173E-09 1.47805E-09 2.72245E-09 1.93063E-09 6.34747E-10 2.59912E-09
1.578125  2.1241E-09  2.01305E-09 2.44842E-09 1.64891E-09 8.3526E-10  2.5702E-09
1.5859375 2.80744E-09 1.62717E-09 2.1307E-09  1.34738E-09 6.88924E-10 1.83927E-09
1.59375 3.68072E-09 1.45144E-09 2.2482E-09  1.90884E-09 7.36069E-10 1.85888E-09
1.6015625 3.53988E-09 1.67367E-09 2.22769E-09 2.38457E-09 7.8765E-10  2.61112E-09
1.609375  2.26168E-09 1.24956E-09 1.9941E-09  2.0576E-09  8.99976E-10 2.71075E-09
1.6171875 3.37927E-09 1.42391E-09 3.91977E-09 1.95521E-09 1.16037E-09 2.69485E-09
1.625 3.17799E-09 1.1194E-09  3.23881E-09 2.11911E-09 9.04753E-10 2.53414E-09
1.6328125 1.70006E-09 7.46902E-10 1.88481E-09 2.22627E-09 5.83068E-10 2.28547E-09
1.640625  2.597E-09 5.67714E-10 2.86702E-09 2.67707E-09 9.51136E-10 2.92404E-09
1.6484375 3.62422E-09 1.02629E-09 3.23476E-09 2.54634E-09 1.17881E-09 2.79806E-09
1.65625 3.25354E-09 1.25128E-09 2.8905E-09  1.92012E-09 7.02804E-10 1.73468E-09
1.6640625 2.92373E-09 1.1581E-09  2.73412E-09 2.17168E-09 9.11478E-10 2.10326E-09
1.671875  1.80159E-09 1.29461E-09 2.81811E-09 2.80034E-09 1.36909E-09 2.61689E-09
